folder	png	index	status
english_biology_class-11_english_biology_class-11	125	125	ok
english_biology_class-12_english_biology_class-12_part-1	25	25	ok
english_biology_class-12_english_biology_class-12_part-2	67	67	ok
english_chemistry_class-11_english_chemistry_class-11_part-1	88	88	ok
english_chemistry_class-11_english_chemistry_class-11_part-2	24	24	ok
english_chemistry_class-12_english_chemistry_class-12_part-1	50	50	ok
english_chemistry_class-12_english_chemistry_class-12_part-2	20	20	ok
english_maths_class-10_english_maths_class-10	95	95	ok
english_maths_class-11_english_maths_class-11	91	91	ok
english_maths_class-12_english_maths_class-12_part-1	30	30	ok
english_maths_class-12_english_maths_class-12_part-2	65	65	ok
english_physics_class-11_english_physics_class-11	123	123	ok
english_physics_class-12_english_physics_class-12_part-1	175	175	ok
english_physics_class-12_english_physics_class-12_part-2	126	126	ok
english_science_class-10_english_science_class-10	111	111	ok
hindi_biology_class-11_hindi_biology_class-11	0	None	missing_index
